Cause,Type,Year,Data Redundancy, Total Deaths , Source , Page at Source , Source URL ,Teks,Teks2,Catatan
Difteri,Bencana Non Alam dan Penyakit,2015,1, 5 , Profil Kesehatan Indonesia Tahun 2015 ,Lampiran 6.20,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/Profil-Kesehatan-Indonesia-Tahun-2015.pdf,Jumlah Korban Jiwa Akibat Difteri di RI Thn 2015 :: 5,Difteri Tahun 2015,
Difteri,Bencana Non Alam dan Penyakit,2016,1, 24 , Profil Kesehatan Indonesia Tahun 2016 ,Lampiran 6.23,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/Profil-Kesehatan-Indonesia-2016.pdf,Jumlah Korban Jiwa Akibat Difteri di RI Thn 2016 :: 24,Difteri Tahun 2016,
Difteri,Bencana Non Alam dan Penyakit,2017,1, 44 , Profil Kesehatan Indonesia Tahun 2017 ,Lampiran 6.27,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/Profil-Kesehatan-Indonesia-tahun-2017.pdf,Jumlah Korban Jiwa Akibat Difteri di RI Thn 2017 :: 44,Difteri Tahun 2017,
Difteri,Bencana Non Alam dan Penyakit,2018,1, 29 , Profil Kesehatan Indonesia Tahun 2018 ,Lampiran 6.28,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/PROFIL_KESEHATAN_2018_1.pdf,Jumlah Korban Jiwa Akibat Difteri di RI Thn 2018 :: 29,Difteri Tahun 2018,
Difteri,Bencana Non Alam dan Penyakit,2019,1, 23 , Profil Kesehatan Indonesia Tahun 2019 ,Lampiran 62.a,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/Profil-Kesehatan-Indonesia-2019.pdf,Jumlah Korban Jiwa Akibat Difteri di RI Thn 2019 :: 23,Difteri Tahun 2019,
Difteri,Bencana Non Alam dan Penyakit,2020,1, 13 , Profil Kesehatan Indonesia Tahun 2020 ,Lampiran 62.a,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/Profil-Kesehatan-Indonesia-Tahun-2020.pdf,Jumlah Korban Jiwa Akibat Difteri di RI Thn 2020 :: 13,Difteri Tahun 2020,
Dispepsia,Bencana Non Alam dan Penyakit,2009,1, 520 , Profil Kesehatan Indonesia Tahun 2009 ,Lampiran 3.3,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2009.pdf,Jumlah Korban Jiwa Akibat Dispepsia di RI Thn 2009 :: 520,Dispepsia Tahun 2009,
Dispepsia,Bencana Non Alam dan Penyakit,2010,1, 166 , Profil Kesehatan Indonesia Tahun 2011 ,Lampiran 3.3,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2011.pdf,Jumlah Korban Jiwa Akibat Dispepsia di RI Thn 2010 :: 166,Dispepsia Tahun 2010,
Eklamsia dan preeklamsia,Bencana Non Alam dan Penyakit,2004,1, 145 , Profil Kesehatan Indonesia Tahun 2004 ,19,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2004.pdf,Jumlah Korban Jiwa Akibat Eklamsia dan preeklamsia di RI Thn 2004 :: 145,Eklamsia dan preeklamsia Tahun 2004,
Eklamsia dan preeklamsia,Bencana Non Alam dan Penyakit,2005,1, 197 , Profil Kesehatan Indonesia Tahun 2005 ,20,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2005.pdf,Jumlah Korban Jiwa Akibat Eklamsia dan preeklamsia di RI Thn 2005 :: 197,Eklamsia dan preeklamsia Tahun 2005,
Eklamsia dan preeklamsia,Bencana Non Alam dan Penyakit,2006,1, 166 , Profil Kesehatan Indonesia Tahun 2006 ,24,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2006.pdf,Jumlah Korban Jiwa Akibat Eklamsia dan preeklamsia di RI Thn 2006 :: 166,Eklamsia dan preeklamsia Tahun 2006,
Erupsi Gunung Api,Bencana Alam,2012,1, -   , Profil Kesehatan Indonesia Tahun 2012 ,Lampiran 3.38,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2012.pdf,Jumlah Korban Jiwa Akibat Erupsi Gunung Api di RI Thn 2012 :: 0,Erupsi Gunung Api Tahun 2012,
Faktor yg Mempengaruhi Keadaan Kesehatan & yg Berhubungan dengan Pelayanan Kesehatan,Bencana Non Alam dan Penyakit,2005,1, 796 , Profil Kesehatan Indonesia Tahun 2005 ,Lampiran 3.3.a,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2005.pdf,Jumlah Korban Jiwa Akibat Faktor yg Mempengaruhi Keadaan Kesehatan & yg Berhubungan dengan Pelayanan Kesehatan di RI Thn 2005 :: 796,Faktor yg Mempengaruhi Keadaan Kesehatan & yg Berhubungan dengan Pelayanan Kesehatan Tahun 2005,
Faktor yg Mempengaruhi Keadaan Kesehatan & yg Berhubungan dengan Pelayanan Kesehatan,Bencana Non Alam dan Penyakit,2006,1, 925 , Profil Kesehatan Indonesia Tahun 2007 ,Lampiran 3.4,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2007.pdf,Jumlah Korban Jiwa Akibat Faktor yg Mempengaruhi Keadaan Kesehatan & yg Berhubungan dengan Pelayanan Kesehatan di RI Thn 2006 :: 925,Faktor yg Mempengaruhi Keadaan Kesehatan & yg Berhubungan dengan Pelayanan Kesehatan Tahun 2006,
Faktor yg Mempengaruhi Keadaan Kesehatan & yg Berhubungan dengan Pelayanan Kesehatan,Bencana Non Alam dan Penyakit,2008,1," 1,627 ", Profil Kesehatan Indonesia Tahun 2008 ,Lampiran 3.4,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2008.pdf,Jumlah Korban Jiwa Akibat Faktor yg Mempengaruhi Keadaan Kesehatan & yg Berhubungan dengan Pelayanan Kesehatan di RI Thn 2008 :: 1627,Faktor yg Mempengaruhi Keadaan Kesehatan & yg Berhubungan dengan Pelayanan Kesehatan Tahun 2008,
Gagal ginjal lainnya,Bencana Non Alam dan Penyakit,2005,1," 3,047 ", Profil Kesehatan Indonesia Tahun 2005 ,21,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2005.pdf,Jumlah Korban Jiwa Akibat Gagal ginjal lainnya di RI Thn 2005 :: 3047,Gagal ginjal lainnya Tahun 2005,
Gagal ginjal lainnya,Bencana Non Alam dan Penyakit,2006,1," 2,521 ", Profil Kesehatan Indonesia Tahun 2007 ,26,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2007.pdf,Jumlah Korban Jiwa Akibat Gagal ginjal lainnya di RI Thn 2006 :: 2521,Gagal ginjal lainnya Tahun 2006,
Gagal Teknologi,Bencana Non Alam dan Penyakit,2015,1, 23 , Profil Kesehatan Indonesia Tahun 2015 ,Lampiran 6.28,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/Profil-Kesehatan-Indonesia-Tahun-2015.pdf,Jumlah Korban Jiwa Akibat Gagal Teknologi di RI Thn 2015 :: 23,Gagal Teknologi Tahun 2015,
Gagal Teknologi,Bencana Non Alam dan Penyakit,2016,1, 20 , Profil Kesehatan Indonesia Tahun 2016 ,Lampiran 6.37,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/Profil-Kesehatan-Indonesia-2016.pdf,Jumlah Korban Jiwa Akibat Gagal Teknologi di RI Thn 2016 :: 20,Gagal Teknologi Tahun 2016,
Gagal Teknologi,Bencana Non Alam dan Penyakit,2017,1, -   , Profil Kesehatan Indonesia Tahun 2017 ,Lampiran 6.43,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/Profil-Kesehatan-Indonesia-tahun-2017.pdf,Jumlah Korban Jiwa Akibat Gagal Teknologi di RI Thn 2017 :: 0,Gagal Teknologi Tahun 2017,
Gagal Teknologi,Bencana Non Alam dan Penyakit,2018,1, 5 , Profil Kesehatan Indonesia Tahun 2018 ,Lampiran 6.49,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/PROFIL_KESEHATAN_2018_1.pdf,Jumlah Korban Jiwa Akibat Gagal Teknologi di RI Thn 2018 :: 5,Gagal Teknologi Tahun 2018,
Gagal Teknologi,Bencana Non Alam dan Penyakit,2019,1, 1 , Profil Kesehatan Indonesia Tahun 2019 ,Lampiran 63.c,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/Profil-Kesehatan-Indonesia-2019.pdf,Jumlah Korban Jiwa Akibat Gagal Teknologi di RI Thn 2019 :: 1,Gagal Teknologi Tahun 2019,
Gagal Teknologi,Bencana Non Alam dan Penyakit,2020,1, 1 , Profil Kesehatan Indonesia Tahun 2020 ,191,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/Profil-Kesehatan-Indonesia-Tahun-2020.pdf,Jumlah Korban Jiwa Akibat Gagal Teknologi di RI Thn 2020 :: 1,Gagal Teknologi Tahun 2020,
Gangguan Mental & Perilaku,Bencana Non Alam dan Penyakit,2005,1, 164 , Profil Kesehatan Indonesia Tahun 2005 ,Lampiran 3.3.a,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2005.pdf,Jumlah Korban Jiwa Akibat Gangguan Mental & Perilaku di RI Thn 2005 :: 164,Gangguan Mental & Perilaku Tahun 2005,
Gangguan Mental & Perilaku,Bencana Non Alam dan Penyakit,2006,1, 227 , Profil Kesehatan Indonesia Tahun 2007 ,Lampiran 3.4,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2007.pdf,Jumlah Korban Jiwa Akibat Gangguan Mental & Perilaku di RI Thn 2006 :: 227,Gangguan Mental & Perilaku Tahun 2006,
Gangguan Mental & Perilaku,Bencana Non Alam dan Penyakit,2008,1, 204 , Profil Kesehatan Indonesia Tahun 2008 ,Lampiran 3.4,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2008.pdf,Jumlah Korban Jiwa Akibat Gangguan Mental & Perilaku di RI Thn 2008 :: 204,Gangguan Mental & Perilaku Tahun 2008,
Gangguan saluran napas lainnya yang berhubungan dengan masa perinatal,Bencana Non Alam dan Penyakit,2004,1, 548 , Profil Kesehatan Indonesia Tahun 2004 ,16,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2004.pdf,Jumlah Korban Jiwa Akibat Gangguan saluran napas lainnya yang berhubungan dengan masa perinatal di RI Thn 2004 :: 548,Gangguan saluran napas lainnya yang berhubungan dengan masa perinatal Tahun 2004,
Gangguan saluran napas lainnya yang berhubungan dengan masa perinatal,Bencana Non Alam dan Penyakit,2005,1, 724 , Profil Kesehatan Indonesia Tahun 2005 ,17,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2005.pdf,Jumlah Korban Jiwa Akibat Gangguan saluran napas lainnya yang berhubungan dengan masa perinatal di RI Thn 2005 :: 724,Gangguan saluran napas lainnya yang berhubungan dengan masa perinatal Tahun 2005,
Gangguan saluran napas lainnya yang berhubungan dengan masa perinatal,Bencana Non Alam dan Penyakit,2006,1, 662 , Profil Kesehatan Indonesia Tahun 2006 ,21,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2006.pdf,Jumlah Korban Jiwa Akibat Gangguan saluran napas lainnya yang berhubungan dengan masa perinatal di RI Thn 2006 :: 662,Gangguan saluran napas lainnya yang berhubungan dengan masa perinatal Tahun 2006,
Gastritis dan Duodenitis,Bencana Non Alam dan Penyakit,2009,1, 235 , Profil Kesehatan Indonesia Tahun 2009 ,Lampiran 3.3,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2009.pdf,Jumlah Korban Jiwa Akibat Gastritis dan Duodenitis di RI Thn 2009 :: 235,Gastritis dan Duodenitis Tahun 2009,
"Gejala, Tanda & Penemuan Laboratorium, Klinik Abnormal YTK",Bencana Non Alam dan Penyakit,2005,1," 3,264 ", Profil Kesehatan Indonesia Tahun 2005 ,Lampiran 3.3.a,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2005.pdf,"Jumlah Korban Jiwa Akibat Gejala, Tanda & Penemuan Laboratorium, Klinik Abnormal YTK di RI Thn 2005 :: 3264","Gejala, Tanda & Penemuan Laboratorium, Klinik Abnormal YTK Tahun 2005",
"Gejala, Tanda & Penemuan Laboratorium, Klinik Abnormal YTK",Bencana Non Alam dan Penyakit,2006,1," 3,296 ", Profil Kesehatan Indonesia Tahun 2007 ,Lampiran 3.4,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2007.pdf,"Jumlah Korban Jiwa Akibat Gejala, Tanda & Penemuan Laboratorium, Klinik Abnormal YTK di RI Thn 2006 :: 3296","Gejala, Tanda & Penemuan Laboratorium, Klinik Abnormal YTK Tahun 2006",
"Gejala, Tanda & Penemuan Laboratorium, Klinik Abnormal YTK",Bencana Non Alam dan Penyakit,2007,1," 3,967 ", Profil Kesehatan Indonesia Tahun 2008 ,30,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2008.pdf,"Jumlah Korban Jiwa Akibat Gejala, Tanda & Penemuan Laboratorium, Klinik Abnormal YTK di RI Thn 2007 :: 3967","Gejala, Tanda & Penemuan Laboratorium, Klinik Abnormal YTK Tahun 2007",
"Gejala, Tanda & Penemuan Laboratorium, Klinik Abnormal YTK",Bencana Non Alam dan Penyakit,2008,1," 4,238 ", Profil Kesehatan Indonesia Tahun 2008 ,Lampiran 3.4,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2008.pdf,"Jumlah Korban Jiwa Akibat Gejala, Tanda & Penemuan Laboratorium, Klinik Abnormal YTK di RI Thn 2008 :: 4238","Gejala, Tanda & Penemuan Laboratorium, Klinik Abnormal YTK Tahun 2008",
Gelombang Besar,Bencana Alam,2012,1, 3 , Profil Kesehatan Indonesia Tahun 2012 ,Lampiran 3.38,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2012.pdf,Jumlah Korban Jiwa Akibat Gelombang Besar di RI Thn 2012 :: 3,Gelombang Besar Tahun 2012,
Gelombang Besar dan Angin Siklon Tropis,Bencana Alam,2012,1, 1 , Profil Kesehatan Indonesia Tahun 2012 ,Lampiran 3.38,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2012.pdf,Jumlah Korban Jiwa Akibat Gelombang Besar dan Angin Siklon Tropis di RI Thn 2012 :: 1,Gelombang Besar dan Angin Siklon Tropis Tahun 2012,
Gelombang Pasang,Bencana Alam,2008,1, 5 , Profil Kesehatan Indonesia Tahun 2008 ,Lampiran 4.31,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2008.pdf,Jumlah Korban Jiwa Akibat Gelombang Pasang di RI Thn 2008 :: 5,Gelombang Pasang Tahun 2008,
Gelombang Pasang,Bencana Alam,2009,1, -   , Profil Kesehatan Indonesia Tahun 2009 ,Lampiran 4.27,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2009.pdf,Jumlah Korban Jiwa Akibat Gelombang Pasang di RI Thn 2009 :: 0,Gelombang Pasang Tahun 2009,
Gelombang Pasang,Bencana Alam,2010,1, -   , Profil Kesehatan Indonesia Tahun 2010 ,Lampiran 4.42,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2010.pdf,Jumlah Korban Jiwa Akibat Gelombang Pasang di RI Thn 2010 :: 0,Gelombang Pasang Tahun 2010,
Gelombang Pasang,Bencana Alam,2011,1, -   , Profil Kesehatan Indonesia Tahun 2011 ,Lampiran 3.40,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2011.pdf,Jumlah Korban Jiwa Akibat Gelombang Pasang di RI Thn 2011 :: 0,Gelombang Pasang Tahun 2011,
Gelombang Pasang/Badai,Bencana Alam,2016,1, 4 , Profil Kesehatan Indonesia Tahun 2016 ,Lampiran 6.37,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/Profil-Kesehatan-Indonesia-2016.pdf,Jumlah Korban Jiwa Akibat Gelombang Pasang/Badai di RI Thn 2016 :: 4,Gelombang Pasang/Badai Tahun 2016,
Gelombang Pasang/Badai,Bencana Alam,2017,1, -   , Profil Kesehatan Indonesia Tahun 2017 ,Lampiran 6.43,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/Profil-Kesehatan-Indonesia-tahun-2017.pdf,Jumlah Korban Jiwa Akibat Gelombang Pasang/Badai di RI Thn 2017 :: 0,Gelombang Pasang/Badai Tahun 2017,
Gelombang Pasang/Badai,Bencana Alam,2018,1, -   , Profil Kesehatan Indonesia Tahun 2018 ,Lampiran 6.49,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/PROFIL_KESEHATAN_2018_1.pdf,Jumlah Korban Jiwa Akibat Gelombang Pasang/Badai di RI Thn 2018 :: 0,Gelombang Pasang/Badai Tahun 2018,
Gelombang Pasang/Badai,Bencana Alam,2019,1, -   , Profil Kesehatan Indonesia Tahun 2019 ,Lampiran 63.c,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/Profil-Kesehatan-Indonesia-2019.pdf,Jumlah Korban Jiwa Akibat Gelombang Pasang/Badai di RI Thn 2019 :: 0,Gelombang Pasang/Badai Tahun 2019,
Gelombang Pasang/Badai,Bencana Alam,2020,1, -   , Profil Kesehatan Indonesia Tahun 2020 ,190,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/Profil-Kesehatan-Indonesia-Tahun-2020.pdf,Jumlah Korban Jiwa Akibat Gelombang Pasang/Badai di RI Thn 2020 :: 0,Gelombang Pasang/Badai Tahun 2020,
Gempa & Tsunami,Bencana Alam,2010,1, 509 , Profil Kesehatan Indonesia Tahun 2010 ,Lampiran 4.42,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2010.pdf,Jumlah Korban Jiwa Akibat Gempa & Tsunami di RI Thn 2010 :: 509,Gempa & Tsunami Tahun 2010,
Gempa Bumi,Bencana Alam,2005,1," 1,801 ", Profil Kesehatan Indonesia Tahun 2005 ,Lampiran 4.24,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2005.pdf,Jumlah Korban Jiwa Akibat Gempa Bumi di RI Thn 2005 :: 1801,Gempa Bumi Tahun 2005,
Gempa Bumi,Bencana Alam,2006,1," 6,469 ", Profil Kesehatan Indonesia Tahun 2006 ,Lampiran 4.25,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2006.pdf,Jumlah Korban Jiwa Akibat Gempa Bumi di RI Thn 2006 :: 6469,Gempa Bumi Tahun 2006,
Gempa Bumi,Bencana Alam,2007,1, 99 , Profil Kesehatan Indonesia Tahun 2007 ,Lampiran 4.27,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2007.pdf,Jumlah Korban Jiwa Akibat Gempa Bumi di RI Thn 2007 :: 99,Gempa Bumi Tahun 2007,
Gempa Bumi,Bencana Alam,2008,1, 14 , Profil Kesehatan Indonesia Tahun 2008 ,Lampiran 4.31,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2008.pdf,Jumlah Korban Jiwa Akibat Gempa Bumi di RI Thn 2008 :: 14,Gempa Bumi Tahun 2008,
Gempa Bumi,Bencana Alam,2009,1," 1,209 ", Profil Kesehatan Indonesia Tahun 2009 ,Lampiran 4.27,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2009.pdf,Jumlah Korban Jiwa Akibat Gempa Bumi di RI Thn 2009 :: 1209,Gempa Bumi Tahun 2009,
Gempa Bumi,Bencana Alam,2010,1, 7 , Profil Kesehatan Indonesia Tahun 2010 ,Lampiran 4.42,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2010.pdf,Jumlah Korban Jiwa Akibat Gempa Bumi di RI Thn 2010 :: 7,Gempa Bumi Tahun 2010,
Gempa Bumi,Bencana Alam,2011,1, 1 , Profil Kesehatan Indonesia Tahun 2011 ,Lampiran 3.40,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2011.pdf,Jumlah Korban Jiwa Akibat Gempa Bumi di RI Thn 2011 :: 1,Gempa Bumi Tahun 2011,
Gempa Bumi,Bencana Alam,2012,1, 13 , Profil Kesehatan Indonesia Tahun 2012 ,Lampiran 3.38,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2012.pdf,Jumlah Korban Jiwa Akibat Gempa Bumi di RI Thn 2012 :: 13,Gempa Bumi Tahun 2012,
Gempa Bumi,Bencana Alam,2015,1, 2 , Profil Kesehatan Indonesia Tahun 2015 ,Lampiran 6.28,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/Profil-Kesehatan-Indonesia-Tahun-2015.pdf,Jumlah Korban Jiwa Akibat Gempa Bumi di RI Thn 2015 :: 2,Gempa Bumi Tahun 2015,
Gempa Bumi,Bencana Alam,2016,1, 107 , Profil Kesehatan Indonesia Tahun 2016 ,Lampiran 6.37,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/Profil-Kesehatan-Indonesia-2016.pdf,Jumlah Korban Jiwa Akibat Gempa Bumi di RI Thn 2016 :: 107,Gempa Bumi Tahun 2016,
Gempa Bumi,Bencana Alam,2017,1, 4 , Profil Kesehatan Indonesia Tahun 2017 ,Lampiran 6.43,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/Profil-Kesehatan-Indonesia-tahun-2017.pdf,Jumlah Korban Jiwa Akibat Gempa Bumi di RI Thn 2017 :: 4,Gempa Bumi Tahun 2017,
Gempa Bumi,Bencana Alam,2018,1, 573 , Profil Kesehatan Indonesia Tahun 2018 ,Lampiran 6.49,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/PROFIL_KESEHATAN_2018_1.pdf,Jumlah Korban Jiwa Akibat Gempa Bumi di RI Thn 2018 :: 573,Gempa Bumi Tahun 2018,
Gempa Bumi,Bencana Alam,2019,1, 64 , Profil Kesehatan Indonesia Tahun 2019 ,Lampiran 63.c,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/Profil-Kesehatan-Indonesia-2019.pdf,Jumlah Korban Jiwa Akibat Gempa Bumi di RI Thn 2019 :: 64,Gempa Bumi Tahun 2019,
Gempa Bumi,Bencana Alam,2020,1, -   , Profil Kesehatan Indonesia Tahun 2020 ,190,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/Profil-Kesehatan-Indonesia-Tahun-2020.pdf,Jumlah Korban Jiwa Akibat Gempa Bumi di RI Thn 2020 :: 0,Gempa Bumi Tahun 2020,
Gempa Bumi dan Tsunami,Bencana Alam,2016,1, -   , Profil Kesehatan Indonesia Tahun 2016 ,Lampiran 6.37,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/Profil-Kesehatan-Indonesia-2016.pdf,Jumlah Korban Jiwa Akibat Gempa Bumi dan Tsunami di RI Thn 2016 :: 0,Gempa Bumi dan Tsunami Tahun 2016,
Gempa Bumi dan Tsunami,Bencana Alam,2017,1, -   , Profil Kesehatan Indonesia Tahun 2017 ,Lampiran 6.43,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/Profil-Kesehatan-Indonesia-tahun-2017.pdf,Jumlah Korban Jiwa Akibat Gempa Bumi dan Tsunami di RI Thn 2017 :: 0,Gempa Bumi dan Tsunami Tahun 2017,
Gempa Bumi dan Tsunami,Bencana Alam,2018,1," 2,615 ", Profil Kesehatan Indonesia Tahun 2018 ,Lampiran 6.49,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/PROFIL_KESEHATAN_2018_1.pdf,Jumlah Korban Jiwa Akibat Gempa Bumi dan Tsunami di RI Thn 2018 :: 2615,Gempa Bumi dan Tsunami Tahun 2018,
Gempa Bumi dan Tsunami,Bencana Alam,2019,1, -   , Profil Kesehatan Indonesia Tahun 2019 ,Lampiran 63.c,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/Profil-Kesehatan-Indonesia-2019.pdf,Jumlah Korban Jiwa Akibat Gempa Bumi dan Tsunami di RI Thn 2019 :: 0,Gempa Bumi dan Tsunami Tahun 2019,
Gempa Bumi dan Tsunami,Bencana Alam,2020,1, -   , Profil Kesehatan Indonesia Tahun 2020 ,190,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/Profil-Kesehatan-Indonesia-Tahun-2020.pdf,Jumlah Korban Jiwa Akibat Gempa Bumi dan Tsunami di RI Thn 2020 :: 0,Gempa Bumi dan Tsunami Tahun 2020,
Gizi Buruk,Bencana Non Alam dan Penyakit,2005,1, 293 , Profil Kesehatan Indonesia Tahun 2005 ,Lampiran 3.36,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2005.pdf,Jumlah Korban Jiwa Akibat Gizi Buruk di RI Thn 2005 :: 293,Gizi Buruk Tahun 2005,
Hepatitis A,Bencana Non Alam dan Penyakit,2018,1, -   , Profil Kesehatan Indonesia Tahun 2018 ,195,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/PROFIL_KESEHATAN_2018_1.pdf,Jumlah Korban Jiwa Akibat Hepatitis A di RI Thn 2018 :: 0,Hepatitis A Tahun 2018,
